brand_name,place_id,found_name,rating,reviews,lat,lng,maps_url
LRC Fertility Clinic (แอลอาร์ซี เฟอร์ทิลิตี้ คลินิกเฉพาะทางด้านเวชกรรมสูตินรีเวช),0x30e299139d5a1011:0xaaca39279ea9e558,LRC Fertility Clinic,,,13.7202977,100.5300126,"https://www.google.com/maps/place/LRC+Fertility+Clinic/@13.7202977,100.5300126,17z/data=!3m1!4b1!4m6!3m5!1s0x30e299139d5a1011:0xaaca39279ea9e558!8m2!3d13.7202977!4d100.5300126!16s%2Fg%2F11kry8stzr?entry=ttu&g_ep=EgoyMDI2MDUxNy4wIKXMDSoASAFQAw%3D%3D"
Physiary Clinic (คลินิกเฉพาะทางด้านเวชกรรม สาขาเวชศาสตร์ฟื้นฟู ฟีเซียรี),0x311d6300678bc637:0x67a938f0b271b905,ผลลัพธ์,,,13.8407364,100.6393331,"https://www.google.com/maps/place/Physiary+Clinic+%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B9%80%E0%B8%89%E0%B8%9E%E0%B8%B2%E0%B8%B0%E0%B8%97%E0%B8%B2%E0%B8%87%E0%B9%80%E0%B8%A7%E0%B8%8A%E0%B8%A8%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B8%A3%E0%B9%8C%E0%B8%9F%E0%B8%B7%E0%B9%89%E0%B8%99%E0%B8%9F%E0%B8%B9+%E0%B8%9F%E0%B8%B5%E0%B9%80%E0%B8%8B%E0%B8%B5%E0%B8%A2%E0%B8%A3%E0%B8%B5/@13.7659166,100.5718299,12z/data=!4m10!1m2!2m1!1zUGh5c2lhcnkgQ2xpbmljICjguITguKXguLTguJnguLTguIHguYDguInguJ7guLLguLDguJfguLLguIfguJTguYnguLLguJnguYDguKfguIrguIHguKPguKPguKEg4Liq4Liy4LiC4Liy4LmA4Lin4LiK4Lio4Liy4Liq4LiV4Lij4LmM4Lif4Li34LmJ4LiZ4Lif4Li5IOC4n-C4teC5gOC4i-C4teC4ouC4o-C4tSkgQmFuZ2tvaw!3m6!1s0x311d6300678bc637:0x67a938f0b271b905!8m2!3d13.8407364!4d100.6393331!15sCrgBUGh5c2lhcnkgQ2xpbmljICjguITguKXguLTguJnguLTguIHguYDguInguJ7guLLguLDguJfguLLguIfguJTguYnguLLguJnguYDguKfguIrguIHguKPguKPguKEg4Liq4Liy4LiC4Liy4LmA4Lin4LiK4Lio4Liy4Liq4LiV4Lij4LmM4Lif4Li34LmJ4LiZ4Lif4Li5IOC4n-C4teC5gOC4i-C4teC4ouC4o-C4tSkgQmFuZ2tva1rCASK_AXBoeXNpYXJ5IGNsaW5pYyDguITguKXguLTguJnguLTguIEg4LmA4LiJ4Lie4Liy4LiwIOC4l-C4suC4hyDguJTguYnguLLguJkg4LmA4Lin4LiK4LiB4Lij4Lij4LihIOC4quC4suC4guC4siDguYDguKfguIrguKjguLLguKrguJXguKPguYwg4Lif4Li34LmJ4LiZ4Lif4Li5IOC4n-C4tSDguYDguIvguLUg4LiiIOC4o-C4tSBiYW5na29rkgEObWVkaWNhbF9jZW50ZXKaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnBDUTFkSVZsTmliRUpOVFd0a1dGSkljRVpqTVU0MVpVZFdXVTB5WXhBQuABAPoBBAg4ECo!16s%2Fg%2F11m6gxdq4z?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
MENdical Clinic (เมนดีคอล คลินิกเฉพาะทางด้านเวชกรรมศัลยศาสตร์ยูโรวิทยา),0x30e297b6eaed6a0d:0xd005092e2de2936c,ผลลัพธ์,,,13.7556133,100.3986685,"https://www.google.com/maps/place/MENdical+Clinic+%E0%B9%80%E0%B8%A1%E0%B8%99%E0%B8%94%E0%B8%B5%E0%B8%84%E0%B8%AD%E0%B8%A5+%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B9%80%E0%B8%89%E0%B8%9E%E0%B8%B2%E0%B8%B0%E0%B8%97%E0%B8%B2%E0%B8%87%E0%B9%80%E0%B8%A7%E0%B8%8A%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%A8%E0%B8%B1%E0%B8%A5%E0%B8%A2%E0%B8%A8%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B8%A3%E0%B9%8C%E0%B8%A2%E0%B8%B9%E0%B9%82%E0%B8%A3%E0%B8%A7%E0%B8%B4%E0%B8%97%E0%B8%A2%E0%B8%B2/@13.7556133,100.2544729,12z/data=!4m10!1m2!2m1!1zTUVOZGljYWwgQ2xpbmljICjguYDguKHguJnguJTguLXguITguK3guKUg4LiE4Lil4Li04LiZ4Li04LiB4LmA4LiJ4Lie4Liy4Liw4LiX4Liy4LiH4LiU4LmJ4Liy4LiZ4LmA4Lin4LiK4LiB4Lij4Lij4Lih4Lio4Lix4Lil4Lii4Lio4Liy4Liq4LiV4Lij4LmM4Lii4Li54LmC4Lij4Lin4Li04LiX4Lii4LiyKSBCYW5na29r!3m6!1s0x30e297b6eaed6a0d:0xd005092e2de2936c!8m2!3d13.7556133!4d100.3986685!15sCrYBTUVkaWNhbCBDbGluaWMgKOC5gOC4oeC4meC4lOC4teC4hOC4reC4pSDguITguKXguLTguJnguLTguIHguYDguInguJ7guLLguLDguJfguLLguIfguJTguYnguLLguJnguYDguKfguIrguIHguKPguKPguKHguKjguLHguKXguKLguKjguLLguKrguJXguKPguYzguKLguLnguYLguKPguKfguLTguJfguKLguLIpIEJhbmdrb2tawQEivgFtZWRpY2FsIGNsaW5pYyDguYDguKHguJkg4LiU4Li1IOC4hOC4rSDguKUg4LiE4Lil4Li04LiZ4Li04LiBIOC5gOC4ieC4nuC4suC4sCDguJfguLLguIcg4LiU4LmJ4Liy4LiZIOC5gOC4p-C4iuC4geC4o-C4o-C4oSDguKjguLHguKXguKLguKjguLLguKrguJXguKPguYwg4Lii4Li54LmC4LijIOC4p-C4tOC4l-C4ouC4siBiYW5na29rkgEOdXJvbG9neV9jbGluaWOaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnhWTlZWcWJIQlhSa0V5VlVVNU1GZ3paREZsU0VKSllWZHNTMVZyUlJBQuABAPoBBAgAECg!16s%2Fg%2F11y0zw1c_f?entry=ttu&g_ep=EgoyMDI2MDUxNy4wIKXMDSoASAFQAw%3D%3D"
ปลื้มปิติ คลินิกสูตินรีเวช โดยแพทย์เฉพาะทาง MFM (ปลื้มปิติ สหคลินิก),0x30e291d4a2a79245:0xb64d1642df1c0512,ผลลัพธ์,,,13.8549028,100.4387837,"https://www.google.com/maps/place/%E0%B8%9B%E0%B8%A5%E0%B8%B7%E0%B9%89%E0%B8%A1%E0%B8%9B%E0%B8%B4%E0%B8%95%E0%B8%B4+%E0%B8%AA%E0%B8%AB%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81+(+%E0%B8%AA%E0%B8%B9%E0%B8%95%E0%B8%B4%E0%B8%99%E0%B8%A3%E0%B8%B5%E0%B9%80%E0%B8%A7%E0%B8%8A+%E0%B8%9D%E0%B8%B2%E0%B8%81%E0%B8%84%E0%B8%A3%E0%B8%A3%E0%B8%A0%E0%B9%8C+%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B9%83%E0%B8%AB%E0%B8%8D%E0%B9%88+%E0%B9%82%E0%B8%94%E0%B8%A2%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C+MFM+)/@13.8549028,100.4342776,17z/data=!4m10!1m2!2m1!1z4Lib4Lil4Li34LmJ4Lih4Lib4Li04LiV4Li0IOC4hOC4peC4tOC4meC4tOC4geC4quC4ueC4leC4tOC4meC4o-C4teC5gOC4p-C4iiDguYLguJTguKLguYHguJ7guJfguKLguYzguYDguInguJ7guLLguLDguJfguLLguIcgTUZNICjguJvguKXguLfguYnguKHguJvguLTguJXguLQg4Liq4Lir4LiE4Lil4Li04LiZ4Li04LiBKSBCYW5na29r!3m6!1s0x30e291d4a2a79245:0xb64d1642df1c0512!8m2!3d13.8549028!4d100.4387837!15sCsAB4Lib4Lil4Li34LmJ4Lih4Lib4Li04LiV4Li0IOC4hOC4peC4tOC4meC4tOC4geC4quC4ueC4leC4tOC4meC4o-C4teC5gOC4p-C4iiDguYLguJTguKLguYHguJ7guJfguKLguYzguYDguInguJ7guLLguLDguJfguLLguIcgTUZNICjguJvguKXguLfguYnguKHguJvguLTguJXguLQg4Liq4Lir4LiE4Lil4Li04LiZ4Li04LiBKSBCYW5na29rWskBIsYB4Lib4Lil4Li34LmJ4LihIOC4m-C4tOC4leC4tCDguITguKXguLTguJnguLTguIEg4Liq4Li54LiV4Li0IOC4meC4o-C4teC5gOC4p-C4iiDguYLguJTguKIg4LmB4Lie4LiX4Lii4LmMIOC5gOC4ieC4nuC4suC4sCDguJfguLLguIcgbWZtIOC4m-C4peC4t-C5ieC4oSDguJvguLTguJXguLQg4Liq4LirIOC4hOC4peC4tOC4meC4tOC4gSBiYW5na29rkgEMZ3luZWNvbG9naXN0mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ0MFVsRlliRk5TV0dSWldWWkNUVkpHV1hoaVZUbDJVV3BPVEV4WFl4QULgAQD6AQQIABA9!16s%2Fg%2F11vblndfmf?entry=ttu&g_ep=EgoyMDI2MDUxNy4wIKXMDSoASAFQAw%3D%3D"
VAANAA LONGEVITY BANGSAEN (วาณา ลองจีวิตี้ (บางแสน) คลินิกเวชกรรม),0x30e29f443c114587:0xd737bdd1a9e6391,VAANAA Longevity Center,,,13.7044027,100.5448287,"https://www.google.com/maps/place/VAANAA+Longevity+Center/@13.7044027,100.2564376,11z/data=!4m10!1m2!2m1!1zVkFBTkFBIExPTkdFVklUWSBCQU5HU0FFTiAo4Lin4Liy4LiT4LiyIOC4peC4reC4h-C4iOC4teC4p-C4tOC4leC4teC5iSAo4Lia4Liy4LiH4LmB4Liq4LiZKSDguITguKXguLTguJnguLTguIHguYDguKfguIrguIHguKPguKPguKEpIEJhbmdrb2s!3m6!1s0x30e29f443c114587:0xd737bdd1a9e6391!8m2!3d13.7044027!4d100.5448287!15sCowBVkFBTkFBIExPTkdFVklUWSBCQU5HU0FFTiAo4Lin4Liy4LiT4LiyIOC4peC4reC4h-C4iOC4teC4p-C4tOC4leC4teC5iSAo4Lia4Liy4LiH4LmB4Liq4LiZKSDguITguKXguLTguJnguLTguIHguYDguKfguIrguIHguKPguKPguKEpIEJhbmdrb2takQEijgF2YWFuYWEgbG9uZ2V2aXR5IGJhbmdzYWVuIOC4p-C4siDguJPguLIg4Lil4Lit4LiHIOC4iOC4tSDguKfguLQg4LiV4Li14LmJIOC4muC4suC4hyDguYHguKrguJkg4LiE4Lil4Li04LiZ4Li04LiBIOC5gOC4p-C4iuC4geC4o-C4o-C4oSBiYW5na29rkgEObWVkaWNhbF9jbGluaWOaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnRhUjFKc1NsbGpNbVJSVDFob1psb3hUa3BsUjJONlYyMHhkR0pYWXhBQuABAPoBBAgAEA4!16s%2Fg%2F11f088ytc3?entry=ttu&g_ep=EgoyMDI2MDUxNy4wIKXMDSoASAFQAw%3D%3D"
Emalice Clinic เอมมาลิสคลินิก เฉพาะทางด้านเวชกรรมสูตินรีเวช,0x30e29d94e157ec3d:0xfa694ec7db117b82,ผลลัพธ์,,,13.8698607,100.5590097,"https://www.google.com/maps/place/Emalice+Clinic+%E0%B9%80%E0%B8%AD%E0%B8%A1%E0%B8%A1%E0%B8%B2%E0%B8%A5%E0%B8%B4%E0%B8%AA%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81/@13.8698607,100.4148141,12z/data=!4m10!1m2!2m1!1zRW1hbGljZSBDbGluaWMg4LmA4Lit4Lih4Lih4Liy4Lil4Li04Liq4LiE4Lil4Li04LiZ4Li04LiBIOC5gOC4ieC4nuC4suC4sOC4l-C4suC4h-C4lOC5ieC4suC4meC5gOC4p-C4iuC4geC4o-C4o-C4oeC4quC4ueC4leC4tOC4meC4o-C4teC5gOC4p-C4iiBCYW5na29r!3m6!1s0x30e29d94e157ec3d:0xfa694ec7db117b82!8m2!3d13.8698607!4d100.5590097!15sCpkBRW1hbGljZSBDbGluaWMg4LmA4Lit4Lih4Lih4Liy4Lil4Li04Liq4LiE4Lil4Li04LiZ4Li04LiBIOC5gOC4ieC4nuC4suC4sOC4l-C4suC4h-C4lOC5ieC4suC4meC5gOC4p-C4iuC4geC4o-C4o-C4oeC4quC4ueC4leC4tOC4meC4o-C4teC5gOC4p-C4iiBCYW5na29rWqUBIqIBZW1hbGljZSBjbGluaWMg4LmA4Lit4LihIOC4oeC4siDguKXguLQg4LiqIOC4hOC4peC4tOC4meC4tOC4gSDguYDguInguJ7guLLguLAg4LiX4Liy4LiHIOC4lOC5ieC4suC4mSDguYDguKfguIrguIHguKPguKPguKEg4Liq4Li54LiV4Li0IOC4meC4o-C4teC5gOC4p-C4iiBiYW5na29rkgEMZ3luZWNvbG9naXN0mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJmY21VMlkyVkJFQUXgAQD6AQQIFBBN!16s%2Fg%2F11y609jcny?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Beyond IVF by Fertility Associates (เมโกะพระราม 2 สหคลินิก),0x30e2a3baa81ab28f:0x8d3dde06cac5f0e1,ศูนย์รักษาผู้มีบุตรยาก Beyond IVF by Fertility Associates (สาขาพระราม2),,,13.6802671,100.4687413,"https://www.google.com/maps/place/%E0%B8%A8%E0%B8%B9%E0%B8%99%E0%B8%A2%E0%B9%8C%E0%B8%A3%E0%B8%B1%E0%B8%81%E0%B8%A9%E0%B8%B2%E0%B8%9C%E0%B8%B9%E0%B9%89%E0%B8%A1%E0%B8%B5%E0%B8%9A%E0%B8%B8%E0%B8%95%E0%B8%A3%E0%B8%A2%E0%B8%B2%E0%B8%81+Beyond+IVF+by+Fertility+Associates+(%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A3%E0%B8%B2%E0%B8%A12)/@13.6802671,100.4687413,17z/data=!3m1!4b1!4m6!3m5!1s0x30e2a3baa81ab28f:0x8d3dde06cac5f0e1!8m2!3d13.6802671!4d100.4687413!16s%2Fg%2F11h3g3ybbb?entry=ttu&g_ep=EgoyMDI2MDUxNy4wIKXMDSoASAFQAw%3D%3D"
Le Chapel Wellness and Spa (เลอ ชาเปล เวลเนส แอนด์ สปา),0x30e29d78a5bdadeb:0xe732c0e84e0f062e,LE CHAPEL WELLNESS AND SPA - เลอ ชาเปล เวลเนส แอนด์ สปา,,,13.8109688,100.60973,"https://www.google.com/maps/place/LE+CHAPEL+WELLNESS+AND+SPA+-+%E0%B9%80%E0%B8%A5%E0%B8%AD+%E0%B8%8A%E0%B8%B2%E0%B9%80%E0%B8%9B%E0%B8%A5+%E0%B9%80%E0%B8%A7%E0%B8%A5%E0%B9%80%E0%B8%99%E0%B8%AA+%E0%B9%81%E0%B8%AD%E0%B8%99%E0%B8%94%E0%B9%8C+%E0%B8%AA%E0%B8%9B%E0%B8%B2/@13.8109688,100.60973,17z/data=!3m1!4b1!4m6!3m5!1s0x30e29d78a5bdadeb:0xe732c0e84e0f062e!8m2!3d13.8109688!4d100.60973!16s%2Fg%2F11svdgx1fg?entry=ttu&g_ep=EgoyMDI2MDUxNy4wIKXMDSoASAFQAw%3D%3D"
Laliza Clinic (ลลิษาคลินิกเฉพาะทางด้านเวชกรรมสาขาตจวิทยา),0x311d631084afa9d5:0x109a281ed065bf08,ผลลัพธ์,,,13.8264621,100.6766344,"https://www.google.com/maps/place/Laliza+Clinic+The+Promenade+(%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%9C%E0%B8%B4%E0%B8%A7%E0%B8%AB%E0%B8%99%E0%B8%B1%E0%B8%87%E0%B8%A5%E0%B8%A5%E0%B8%B4%E0%B8%A9%E0%B8%B2+%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0+%E0%B8%9E%E0%B8%A3%E0%B8%AD%E0%B8%A1%E0%B8%B2%E0%B8%99%E0%B8%B2%E0%B8%94)/@13.8295204,100.5440047,11z/data=!4m10!1m2!2m1!1zTGFsaXphIENsaW5pYyAo4Lil4Lil4Li04Lip4Liy4LiE4Lil4Li04LiZ4Li04LiB4LmA4LiJ4Lie4Liy4Liw4LiX4Liy4LiH4LiU4LmJ4Liy4LiZ4LmA4Lin4LiK4LiB4Lij4Lij4Lih4Liq4Liy4LiC4Liy4LiV4LiI4Lin4Li04LiX4Lii4LiyKSBCYW5na29r!3m6!1s0x311d631084afa9d5:0x109a281ed065bf08!8m2!3d13.8264621!4d100.6766344!15sCpMBTGFsaXphIENsaW5pYyAo4Lil4Lil4Li04Lip4Liy4LiE4Lil4Li04LiZ4Li04LiB4LmA4LiJ4Lie4Liy4Liw4LiX4Liy4LiH4LiU4LmJ4Liy4LiZ4LmA4Lin4LiK4LiB4Lij4Lij4Lih4Liq4Liy4LiC4Liy4LiV4LiI4Lin4Li04LiX4Lii4LiyKSBCYW5na29rWp8BIpwBbGFsaXphIGNsaW5pYyDguKUg4Lil4Li0IOC4qeC4siDguITguKXguLTguJnguLTguIEg4LmA4LiJ4Lie4Liy4LiwIOC4l-C4suC4hyDguJTguYnguLLguJkg4LmA4Lin4LiK4LiB4Lij4Lij4LihIOC4quC4suC4guC4siDguJUg4LiIIOC4p-C4tOC4l-C4ouC4siBiYW5na29rkgEQc2tpbl9jYXJlX2NsaW5pY5oBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyNWtjRmt6V2xobFIyaFBZbGQ0YW1KVmJFWmtSekZKWXpOYU1WWllZeEFC4AEA-gEFCJ8CEDo!16s%2Fg%2F11y_qmjypx?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
โรงพยาบาลเกษมราษฎร์ อินเตอร์เนชั่นแนล รัตนาธิเบศร์,0x30e28fd93c205ebb:0x4e85034bcdc98392,ผลลัพธ์,,,13.8810007,100.4098537,"https://www.google.com/maps/place/%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B8%9E%E0%B8%A2%E0%B8%B2%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B9%80%E0%B8%81%E0%B8%A9%E0%B8%A1%E0%B8%A3%E0%B8%B2%E0%B8%A9%E0%B8%8F%E0%B8%A3%E0%B9%8C+%E0%B8%AD%E0%B8%B4%E0%B8%99%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B9%80%E0%B8%99%E0%B8%8A%E0%B8%B1%E0%B9%88%E0%B8%99%E0%B9%81%E0%B8%99%E0%B8%A5+%E0%B8%A3%E0%B8%B1%E0%B8%95%E0%B8%99%E0%B8%B2%E0%B8%98%E0%B8%B4%E0%B9%80%E0%B8%9A%E0%B8%A8%E0%B8%A3%E0%B9%8C/@13.8810007,100.4008415,16z/data=!4m10!1m2!2m1!1z4LmC4Lij4LiH4Lie4Lii4Liy4Lia4Liy4Lil4LmA4LiB4Lip4Lih4Lij4Liy4Lip4LiO4Lij4LmMIOC4reC4tOC4meC5gOC4leC4reC4o-C5jOC5gOC4meC4iuC4seC5iOC4meC5geC4meC4pSDguKPguLHguJXguJnguLLguJjguLTguYDguJrguKjguKPguYwgQmFuZ2tvaw!3m6!1s0x30e28fd93c205ebb:0x4e85034bcdc98392!8m2!3d13.8810007!4d100.4098537!15sCpoB4LmC4Lij4LiH4Lie4Lii4Liy4Lia4Liy4Lil4LmA4LiB4Lip4Lih4Lij4Liy4Lip4LiO4Lij4LmMIOC4reC4tOC4meC5gOC4leC4reC4o-C5jOC5gOC4meC4iuC4seC5iOC4meC5geC4meC4pSDguKPguLHguJXguJnguLLguJjguLTguYDguJrguKjguKPguYwgQmFuZ2tva1qhASKeAeC5guC4o-C4hyDguJ7guKLguLLguJrguLLguKUg4LmA4LiB4Lip4LihIOC4o-C4suC4qeC4juC4o-C5jCDguK3guLTguJnguYDguJXguK3guKPguYwg4LmA4LiZ4LiK4Lix4LmI4LiZ4LmB4LiZ4LilIOC4o-C4seC4leC4meC4suC4mOC4tOC5gOC4muC4qOC4o-C5jCBiYW5na29rkgEQcHJpdmF0ZV9ob3NwaXRhbJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSa05UVk1UMHRCRUFF4AEA-gEFCP8BEE8!16s%2Fg%2F11dfgt4t5b?entry=ttu&g_ep=EgoyMDI2MDUxNy4wIKXMDSoASAFQAw%3D%3D"
